Category,MeetID,MeetCountry,MeetState,MeetTown,MeetName,Name,Age,Sex,LiftKg,MeetYear
Best Deadlift,7558,USA,WY,Rock Springs,Rocky Mountain Powerlifting Championship,Mesa Weidle,15.0,F,70.0,2011
Best Deadlift,1596,USA,NM,,New Mexico New Years Classic,Maggie Keen,,F,137.5,2016
Best Deadlift,1596,USA,NM,,New Mexico New Years Classic,Molly Cobbs,,F,125.0,2016
Best Deadlift,6958,USA,NE,,NE Capital City Clash,Walker Julious,,M,245.0,2015
Best Deadlift,8431,USA,KS,Manhattan,The Foundation's Best of the Midwest Pro/Am,Charles Cookson,48.0,M,300.0,2018
Best Deadlift,5593,USA,MT,,Montana State Championship,Nathan Arthur,,M,299.37,2013
Best Deadlift,8006,USA,NE,Omaha,Nebraska State Raw Championships,Sara Heywood,21.0,F,155.0,2016
Best Deadlift,62,USA,ME,Westbrook,2016 APF Maine State Powerlifting,Ryan Morton,30.0,M,200.0,2016
Best Deadlift,6719,USA,ID,,2014 Idaho State Open/High School Championships,Jesse Norris,,M,374.2,2014
Best Deadlift,1340,USA,MD,Rosedale,Metal Militia Christmas Carnage,Scott Bixler,61.5,M,163.29,2014
Best Deadlift,7656,USA,MD,Baltimore,Baltimore Open,Robert Shanks,62.0,M,154.22,2013
Best Deadlift,7187,USA,RI,,2016 New England Open,James Dean,15.5,M,152.5,2016
Best Deadlift,7656,USA,MD,Baltimore,Baltimore Open,John Woepke,16.0,M,142.88,2013
Best Deadlift,7656,USA,MD,Baltimore,Baltimore Open,Michael James,28.0,M,272.16,2013
Best Deadlift,62,USA,ME,Westbrook,2016 APF Maine State Powerlifting,Khashayar Farzam,23.0,M,240.0,2016
Best Bench,7609,USA,WY,Rock Springs,Rocky Mountain Regional Powerlifting,Dylan Tripp,16.0,M,160.0,2012
Best Bench,110,USA,ID,,WPC/AWPC World Cup,Susie Rose,75.0,F,35.0,2017
Best Bench,5323,USA,RI,Smithfield,Summer Slam Push/Pull III,George Sotirakos,,M,294.84,2017
Best Bench,7766,USA,HI,Honolulu,Hawaii State Benchpress and Deadlift,Bradine Anae,14.0,F,120.0,2014
Best Bench,7379,USA,WY,,Wyoming State Championship,Steven Hill,67.5,M,75.0,2018
Best Bench,7176,USA,ID,,Northwest Regional Championship,Donald Rogers,24.5,M,150.0,2017
Best Bench,6958,USA,NE,,NE Capital City Clash,Walker Julious,,M,137.5,2015
Best Bench,1340,USA,MD,Rosedale,Metal Militia Christmas Carnage,Michael Capodanno,49.5,M,183.7,2014
Best Bench,6962,USA,NE,,Ninth Annual Capitol City Clash,Beau Moore,,M,227.5,2016
Best Bench,27,USA,AK,Searcy,Rhino Open Championships,Bradley Black,15.0,M,108.86,2017
Best Deadlift,7448,USA,NE,Omaha,Police & Fire Nationals,Mark Elder,,M,275.0,2003
Best Deadlift,4926,USA,RI,Johnston,2013 New England Revolution,Lenny Creatura,55.0,M,272.16,2013
Best Deadlift,62,USA,ME,Westbrook,2016 APF Maine State Powerlifting,Matt Harmon,27.0,M,262.5,2016
Best Deadlift,7690,USA,HI,Honolulu,Hawaii All Raw Powerlifting Challenge,Brennan Leong,19.0,M,190.0,2013
Best Deadlift,7690,USA,HI,Honolulu,Hawaii All Raw Powerlifting Challenge,Jamario Latter,22.0,M,190.0,2013
Best Deadlift,7647,USA,HI,Honolulu,Hawaii State Championship,Alexis Wascom,19.0,F,182.5,2013
Best Deadlift,8044,USA,AK,Anchorage,Meet of the Midnight Sun,Andy Roof,30.0,M,350.0,2016
Best Deadlift,113,USA,ND,,North Dakota Powerlifting Championship,Baillee Heitkamp,16.0,F,102.5,2017
Best Deadlift,1340,USA,MD,Rosedale,Metal Militia Christmas Carnage,Bill Crawford,42.5,M,249.48,2014
Best Deadlift,6521,USA,AK,,2016 Southside Fall Classic,Bobby Hill,36.5,M,140.0,2016
Best Deadlift,110,USA,ID,,WPC/AWPC World Cup,Charlie Dykehouse Ritchie,46.0,F,152.5,2017
Best Deadlift,7968,USA,NM,Albuquerque,High Desert Regional Powerlifting Championships,Kenny Croxdale,67.0,M,222.5,2016
Best Deadlift,7187,USA,RI,,2016 New England Open,Cole Mooney,15.5,M,230.0,2016
Best Deadlift,6503,USA,AK,,2nd Frostbite Classic,Ben Brent,,M,180.0,2015
Best Deadlift,8431,USA,KS,Manhattan,The Foundation's Best of the Midwest Pro/Am,Daniel Olajiga,22.0,M,307.5,2018
Best Bench,110,USA,ID,,WPC/AWPC World Cup,Jacob Neumann,17.0,F,82.5,2017
Best Bench,8132,USA,MD,Frederick,Maryland State Championship,Mike Muskey,48.0,M,180.0,2016
Best Bench,113,USA,ND,,North Dakota Powerlifting Championship,Dave Baker,63.0,M,67.5,2017
Best Bench,8001,USA,KS,Manhattan,Kansas State Collegiate Raw Championships,Michael Schaeffer,22.0,M,147.5,2016
Best Bench,6533,USA,AK,,Southside Christmas Classic,Austin Schrader,18.5,M,185.0,2017
Best Bench,8099,USA,WY,Casper,Randy Lane Memorial Powerlifting Meet,Carlos Rojas,44.0,M,237.5,2016
Best Bench,113,USA,ND,,North Dakota Powerlifting Championship,Tyler Yanez,15.0,M,112.5,2017
Best Bench,27,USA,AK,Searcy,Rhino Open Championships,Roger Walters,55.0,M,181.44,2017
Best Bench,7721,USA,MD,Rosedale,Eastern Regional Open,Jake Schellenschlager,14.0,M,92.5,2014
Best Bench,6729,USA,ID,,Winter Wars 2017,Nicholas Esposito,24.5,M,165.0,2017
Best Deadlift,81,USA,ME,Westbrook,New England Powerlifting & Bench Press Championships,Michael Pindell,44.0,M,187.5,2016
Best Deadlift,64,USA,ND,Fargo,AAPF North Dakota Championship,Chris Sayre,31.0,M,287.5,2016
Best Deadlift,6957,USA,NE,,NE Patriot Open,Joe Noble,,M,137.5,2014
Best Deadlift,81,USA,ME,Westbrook,New England Powerlifting & Bench Press Championships,Russell Barlow,19.0,M,260.0,2016
Best Deadlift,64,USA,ND,Fargo,AAPF North Dakota Championship,Darian Slama,20.0,F,160.0,2016
Best Deadlift,4968,USA,RI,Johnston,2014 New England Revolution,Cris Tabulina,,M,251.74,2014
Best Deadlift,105,USA,ME,Westbrook,Maine State Push-Pull,George Sotirakos,44.0,M,307.5,2017
Best Deadlift,4926,USA,RI,Johnston,2013 New England Revolution,Jim Davenport,,M,272.16,2013
Best Deadlift,110,USA,ID,,WPC/AWPC World Cup,Aspen Seward,15.0,F,102.5,2017
Best Deadlift,1340,USA,MD,Rosedale,Metal Militia Christmas Carnage,Andrew Trostle,31.5,M,297.1,2014
Best Deadlift,8040,USA,WY,Laramie,Wyoming State and Mountain West Regional,Alejandra Rice,14.0,F,120.0,2016
Best Deadlift,110,USA,ID,,WPC/AWPC World Cup,Susie Rose,75.0,F,97.5,2017
Best Deadlift,110,USA,ID,,WPC/AWPC World Cup,Jacob Neumann,17.0,F,137.5,2017
Best Squat,110,USA,ID,,WPC/AWPC World Cup,Gordon Santee,70.0,M,85.0,2017
Best Squat,1596,USA,NM,,New Mexico New Years Classic,Molly Cobbs,,F,72.5,2016
Best Squat,64,USA,ND,Fargo,AAPF North Dakota Championship,Darian Slama,20.0,F,137.5,2016
Best Squat,8431,USA,KS,Manhattan,The Foundation's Best of the Midwest Pro/Am,Daniel Olajiga,22.0,M,345.0,2018
Best Squat,7379,USA,WY,,Wyoming State Championship,Drake Phillips,22.5,M,167.5,2018
Best Squat,6521,USA,AK,,2016 Southside Fall Classic,Bobby Hill,36.5,M,142.5,2016
Best Squat,81,USA,ME,Westbrook,New England Powerlifting & Bench Press Championships,Tim Lane,57.0,M,312.5,2016
Best Bench,4926,USA,RI,Johnston,2013 New England Revolution,Skip Skiba,,M,238.14,2013
Best Bench,5514,USA,MT,,Montana State Championship,Austin Lenox,,M,165.56,2012
Best Bench,6534,USA,AK,,Tundra Rumble,Ryan Walsh,30.5,M,190.0,2017
Best Bench,110,USA,ID,,WPC/AWPC World Cup,Dennis Weathers,65.0,M,152.5,2017
Best Bench,7187,USA,RI,,2016 New England Open,Cole Mooney,15.5,M,125.0,2016
Best Bench,110,USA,ID,,WPC/AWPC World Cup,Mostafa Heshem Mahmoud Eleraky,23.0,M,180.0,2017
Best Bench,62,USA,ME,Westbrook,2016 APF Maine State Powerlifting,Joeseph Neveux,20.0,M,115.0,2016
Best Bench,7630,USA,MD,Hagerstown,Larry Gerro Memorial Raw Powerlifting Championships,Don Joy,80.0,M,120.0,2012
Best Bench,110,USA,ID,,WPC/AWPC World Cup,Thomas Ponzio,47.0,M,270.0,2017
Best Bench,1340,USA,MD,Rosedale,Metal Militia Christmas Carnage,Patrick Mullaney,68.5,M,113.4,2014
Best Bench,7379,USA,WY,,Wyoming State Championship,Thomas Montoya,53.5,M,112.5,2018
Best Bench,1595,USA,KS,,Kansas Regional,Garmez Parks,,M,165.0,2016
Best Bench,6963,USA,NE,,4th Annual Patriot Open,David Sneen,,M,185.0,2016
Best Bench,7562,USA,HI,Honolulu,Hawaii Benchpress and Deadlift,Kamuela Wassman,23.0,M,207.5,2011
Best Bench,7379,USA,WY,,Wyoming State Championship,Kevin McKnight,59.5,M,177.5,2018
Best Bench,5192,USA,ME,Saco,Maine Push-Pull Championships,Matthew Moran,,M,174.63,2017
Best Bench,110,USA,ID,,WPC/AWPC World Cup,Troy Christensen,42.0,M,170.0,2017
Best Bench,7379,USA,WY,,Wyoming State Championship,Travis Koehn,44.5,M,155.0,2018
Best Bench,1595,USA,KS,,Kansas Regional,Zachary Herries,,M,85.0,2016
Best Bench,7379,USA,WY,,Wyoming State Championship,Natalie Montoya,18.5,F,85.0,2018
Best Bench,1596,USA,NM,,New Mexico New Years Classic,William Hudson,,M,130.0,2016
Best Bench,5192,USA,ME,Saco,Maine Push-Pull Championships,Patrick Maguire,,M,249.48,2017
Best Bench,89,USA,ME,Portland,Maine State Championship,Noah Tibbetts,16.0,M,172.5,2017
Best Bench,81,USA,ME,Westbrook,New England Powerlifting & Bench Press Championships,Tim Lane,57.0,M,167.5,2016
Best Bench,7375,USA,WY,,2016 Cowboy State Raw Meet,Eddie Argumedo,,M,220.0,2016
Best Squat,7824,USA,NM,Albuquerque,Southwest Open Powerlifting Championships,Bryan Alm,41.0,M,320.0,2015
Best Squat,7558,USA,WY,Rock Springs,Rocky Mountain Powerlifting Championship,Justin Gaudette,23.0,M,210.0,2011
Best Squat,1595,USA,KS,,Kansas Regional,Garmez Parks,,M,235.0,2016
Best Squat,27,USA,AK,Searcy,Rhino Open Championships,Michael Cook,36.0,M,138.35,2017
Best Bench,7656,USA,MD,Baltimore,Baltimore Open,John Rafinello,50.0,M,115.67,2013
Best Bench,7448,USA,NE,Omaha,Police & Fire Nationals,Jim Pope,,M,227.5,2003
Best Bench,8431,USA,KS,Manhattan,The Foundation's Best of the Midwest Pro/Am,Mark Elder,56.0,M,172.5,2018
Best Squat,1340,USA,MD,Rosedale,Metal Militia Christmas Carnage,Zachary Bishop,17.5,M,283.5,2014
Best Squat,1340,USA,MD,Rosedale,Metal Militia Christmas Carnage,Michael Capodanno,49.5,M,260.82,2014
